Name,Team,G,0-19,M0-19,A0-19,20-29,M20-29,A20-29,30-39,M30-39,A30-39,40-49,M40-49,A40-49,50+,M50+,A50+,FGM,FGA,Pct,Lng,XPM,XPA,Pct,Pts
Sebastian Janikowski,OAK,16,0-0,0,0,8-8,8,8,13-14,13,14,8-12,8,12,4-7,4,7,33,41,80.5,59,43,43,100.0,142 
Josh Brown,STL,16,0-0,0,0,11-12,11,12,12-14,12,14,7-9,7,9,3-4,3,4,33,39,84.6,53,26,27,96.3,125 
David Akers,PHI,16,0-0,0,0,12-12,12,12,10-12,10,12,9-11,9,11,1-3,1,3,32,38,84.2,50,47,47,100.0,143 
Dan Carpenter,MIA,16,1-1,1,1,9-9,9,9,5-5,5,5,11-18,11,18,4-8,4,8,30,41,73.2,60,25,25,100.0,115 
Nick Folk,NYJ,16,1-1,1,1,10-11,10,11,14-16,14,16,3-6,3,6,2-5,2,5,30,39,76.9,56,37,37,100.0,127 
Matt Bryant,ATL,16,0-0,0,0,11-11,11,11,8-9,8,9,8-10,8,10,1-1,1,1,28,31,90.3,51,44,44,100.0,128 
Neil Rackers,HOU,16,0-0,0,0,8-8,8,8,11-11,11,11,5-7,5,7,3-4,3,4,27,30,90.0,57,43,43,100.0,124 
Adam Vinatieri,IND,16,0-0,0,0,8-8,8,8,9-10,9,10,9-10,9,10,0-0,0,0,26,28,92.9,48,51,51,100.0,129 
Billy Cundiff,BAL,16,0-0,0,0,11-11,11,11,8-9,8,9,7-8,7,8,0-1,0,1,26,29,89.7,49,39,39,100.0,117 
John Kasay,CAR,16,0-0,0,0,9-9,9,9,2-2,2,2,11-14,11,14,3-4,3,4,25,29,86.2,55,17,17,100.0,92 
Olindo Mare,SEA,16,2-2,2,2,10-12,10,12,7-7,7,7,5-7,5,7,1-2,1,2,25,30,83.3,51,31,31,100.0,106 
Robbie Gould,CHI,16,1-1,1,1,9-9,9,9,8-9,8,9,4-7,4,7,3-4,3,4,25,30,83.3,54,35,35,100.0,110 
Jeff Reed,PIT,9,2-2,2,2,9-10,9,10,8-9,8,9,3-7,3,7,2-4,2,4,24,32,75.0,53,32,32,100.0,104 
David Buehler,DAL,16,0-0,0,0,8-8,8,8,4-7,4,7,8-11,8,11,4-6,4,6,24,32,75.0,53,42,44,95.5,114 
Jay Feely,ARI,16,0-0,0,0,8-8,8,8,6-6,6,6,8-10,8,10,2-3,2,3,24,27,88.9,55,29,29,100.0,101 
Graham Gano,WAS,16,1-1,1,1,8-10,8,10,4-7,4,7,11-14,11,14,0-3,0,3,24,35,68.6,49,28,28,100.0,100 
Rob Bironas,TEN,16,0-0,0,0,6-6,6,6,8-9,8,9,8-8,8,8,2-3,2,3,24,26,92.3,55,38,38,100.0,110 
Nate Kaeding,SDG,13,0-0,0,0,6-6,6,6,7-8,7,8,9-10,9,10,1-4,1,4,23,28,82.1,50,40,40,100.0,109 
Phil Dawson,CLE,16,3-3,3,3,7-7,7,7,10-10,10,10,3-5,3,5,0-3,0,3,23,28,82.1,48,28,28,100.0,97 
Connor Barth,TAM,16,0-0,0,0,6-6,6,6,10-10,10,10,6-10,6,10,1-2,1,2,23,28,82.1,53,36,36,100.0,105 
Mason Crosby,GNB,16,1-1,1,1,7-8,7,8,4-5,4,5,8-10,8,10,2-4,2,4,22,28,78.6,56,46,46,100.0,112 
Josh Scobee,JAC,16,2-2,2,2,3-3,3,3,6-7,6,7,9-14,9,14,2-2,2,2,22,28,78.6,59,41,41,100.0,107 
Ryan Succop,KAN,16,0-0,0,0,6-6,6,6,7-9,7,9,6-8,6,8,1-3,1,3,20,26,76.9,53,42,42,100.0,102 
Garrett Hartley,NOR,14,1-1,1,1,4-6,4,6,7-9,7,9,6-7,6,7,2-2,2,2,20,25,80.0,52,40,40,100.0,100 
Lawrence Tynes,NYG,15,0-0,0,0,12-12,12,12,2-4,2,4,3-4,3,4,2-3,2,3,19,23,82.6,53,43,43,100.0,100 
Ryan Longwell,MIN,16,0-0,0,0,7-7,7,7,8-9,8,9,2-2,2,2,0-0,0,0,17,18,94.4,48,30,31,96.8,81 
Rian Lindell,BUF,16,1-1,1,1,6-6,6,6,5-6,5,6,2-3,2,3,2-5,2,5,16,21,76.2,51,31,32,96.9,79 
Matt Prater,DEN,12,0-0,0,0,3-3,3,3,7-7,7,7,4-5,4,5,2-3,2,3,16,18,88.9,59,28,29,96.6,76 
Mike Nugent,CIN,9,0-0,0,0,5-5,5,5,7-7,7,7,1-3,1,3,2-4,2,4,15,19,78.9,54,17,17,100.0,62 
Shaun Suisham,PIT,7,1-1,1,1,4-4,4,4,1-1,1,1,8-9,8,9,0-0,0,0,14,15,93.3,48,19,19,100.0,61 
Dave Rayner,DET,8,0-0,0,0,3-3,3,3,3-3,3,3,5-8,5,8,2-2,2,2,13,16,81.3,55,16,16,100.0,55 
Shayne Graham,NWE,8,1-1,1,1,5-5,5,5,5-5,5,5,1-1,1,1,0-0,0,0,12,12,100.0,41,39,41,95.1,75 
Jason Hanson,DET,8,0-0,0,0,1-1,1,1,4-4,4,4,4-5,4,5,3-4,3,4,12,14,85.7,52,19,19,100.0,55 
Joe Nedney,SFO,9,0-0,0,0,6-6,6,6,2-2,2,2,1-2,1,2,2-3,2,3,11,13,84.6,51,17,17,100.0,50 
Stephen Gostkowski,NWE,8,0-0,0,0,2-2,2,2,6-7,6,7,2-3,2,3,0-1,0,1,10,13,76.9,43,26,26,100.0,56 
Clint Stitser,CIN,5,0-0,0,0,4-5,4,5,2-2,2,2,1-1,1,1,0-0,0,0,7,8,87.5,47,8,10,80.0,29 
Steven Hauschka,DEN,4,0-0,0,0,1-1,1,1,3-3,3,3,2-3,2,3,0-0,0,0,6,7,85.7,46,10,10,100.0,28 
John Carney,NOR,2,0-0,0,0,1-2,1,2,4-4,4,4,0-0,0,0,0-0,0,0,5,6,83.3,32,3,3,100.0,18 
Kris Brown,SDG,3,0-0,0,0,1-1,1,1,3-3,3,3,0-0,0,0,0-1,0,1,4,5,80.0,36,8,8,100.0,20 
Aaron Pettrey,CIN,2,1-1,1,1,1-2,1,2,0-0,0,0,0-1,0,1,0-0,0,0,2,4,50.0,28,5,5,100.0,11 
Shane Andrus,SFO,2,0-0,0,0,1-1,1,1,1-2,1,2,0-1,0,1,0-0,0,0,2,4,50.0,38,3,3,100.0,9 
Rhys Lloyd,CAR,15,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0,0,,,0,0,,0 
