Name,Team,G,Rec,Rec Tgt,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC,Rec 1stD,Rec TD,KR,KR Yds,KR Avg,KR Lng,KR TD,PR,PR Yds,PR Avg,PR Long,PR TD,Fum,FumL
Brandon Lloyd,DEN,16,77,153,1448,90.5,18.8,71,2.9,72,11,0,0,,0,0,0,0,,0,0,0,0
Roddy White,ATL,16,115,179,1389,86.8,12.1,46,3.3,73,10,0,0,,0,0,0,0,,0,0,1,1
Reggie Wayne,IND,16,111,176,1355,84.7,12.2,50,3.9,72,6,0,0,0,0,0,0,0,0,0,0,1,1
Greg Jennings,GNB,16,76,124,1265,79.1,16.6,86,5.7,52,12,0,0,,0,0,0,0,,0,0,2,0
Mike Wallace,PIT,16,60,99,1257,78.6,21.0,56,6.3,48,10,0,0,,0,0,0,0,,0,0,1,0
Andre Johnson,HOU,13,86,138,1216,93.5,14.1,60,4.0,59,8,0,0,0,0,0,0,0,0,0,0,1,0
Dwayne Bowe,KAN,16,72,133,1162,72.6,16.1,75,5.6,55,15,0,0,,0,0,0,0,,0,0,1,0
Larry Fitzgerald,ARI,16,90,173,1137,71.1,12.6,41,2.5,59,6,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Johnson,DET,16,77,137,1120,70.0,14.5,87,4.6,57,12,0,0,0,0,0,0,0,0,0,0,1,0
Santana Moss,WAS,16,93,145,1115,69.7,12.0,56,5.4,61,6,0,0,,0,0,0,0,,0,0,3,2
Stevie Johnson,BUF,16,82,142,1073,67.1,13.1,45,5.1,61,10,0,0,,0,0,0,0,,0,0,1,1
DeSean Jackson,PHI,14,47,96,1056,75.4,22.5,91,7.7,33,6,0,0,,0,0,20,231,11.6,65,1,2,1
Hakeem Nicks,NYG,13,79,128,1052,80.9,13.3,46,3.9,55,11,1,14,14.0,14,0,0,0,,0,0,1,0
Miles Austin,DAL,16,69,119,1041,65.1,15.1,69,6.4,50,7,0,0,,0,0,0,0,,0,0,1,1
Marques Colston,NOR,15,84,132,1023,68.2,12.2,43,3.4,57,7,0,0,,0,0,0,0,,0,0,0,0
Brandon Marshall,MIA,14,86,145,1014,72.4,11.8,46,2.8,57,3,0,0,,0,0,0,0,,0,0,2,1
Terrell Owens,CIN,14,72,139,983,70.2,13.7,78,4.0,47,9,0,0,,0,0,0,0,,0,0,0,0
Jeremy Maclin,PHI,16,70,115,964,60.3,13.8,83,4.0,45,10,1,22,22.0,22,0,3,17,5.7,9,0,1,1
Mike Williams,TAM,16,65,129,964,60.3,14.8,58,5.3,44,11,0,0,0,0,0,0,0,0,0,0,3,2
Johnny Knox,CHI,16,51,100,960,60.0,18.8,67,4.8,43,5,8,182,22.8,42,0,0,0,,0,0,1,1
Mario Manningham,NYG,16,60,92,944,59.0,15.7,92,5.8,32,9,0,0,0,0,0,0,0,0,0,0,1,1
Braylon Edwards,NYJ,16,53,101,904,56.5,17.1,74,5.7,40,7,0,0,0,0,0,0,0,0,0,0,1,1
Jabar Gaffney,DEN,16,65,112,875,54.7,13.5,50,3.3,42,2,0,0,,0,0,0,0,,0,0,1,0
Anthony Armstrong,WAS,15,44,86,871,58.1,19.8,76,4.0,32,3,0,0,0,0,0,0,0,0,0,0,1,1
Percy Harvin,MIN,14,71,109,868,62.0,12.2,53,6.5,41,5,40,933,23.3,95,1,0,0,,0,0,0,0
Wes Welker,NWE,15,86,123,848,56.5,9.9,35,5.0,47,7,0,0,,0,0,5,36,7.2,22,0,0,0
Anquan Boldin,BAL,16,64,109,837,52.3,13.1,61,3.8,43,7,0,0,,0,0,0,0,,0,0,1,1
Chad Johnson,CIN,14,67,126,831,59.4,12.4,42,2.9,47,4,0,0,0,0,0,0,0,0,0,0,1,0
Mike Thomas,JAC,16,66,101,820,51.3,12.4,50,4.7,38,4,0,0,,0,0,34,358,10.5,78,1,0,0
Davone Bess,MIA,16,79,125,820,51.3,10.4,29,4.2,43,5,0,0,,0,0,25,284,11.4,47,0,0,0
Deion Branch,NWE,11,61,92,818,54.5,13.4,79,4.8,43,6,0,0,,0,0,0,0,,0,0,1,1
Derrick Mason,BAL,16,61,100,802,50.1,13.1,42,2.2,44,7,0,0,,0,0,0,0,,0,0,0,0
Pierre Garcon,IND,14,67,118,784,56.0,11.7,57,4.0,41,6,0,0,,0,0,0,0,,0,0,0,0
Kenny Britt,TEN,12,42,73,775,64.6,18.5,80,3.1,33,9,0,0,,0,0,0,0,,0,0,1,1
Lance Moore,NOR,16,66,95,763,47.7,11.6,80,4.3,40,8,0,0,,0,0,11,112,10.2,72,0,1,1
Hines Ward,PIT,16,59,93,755,47.2,12.8,43,4.4,35,5,0,0,,0,0,0,0,,0,0,1,1
Mike Williams,SEA,14,65,110,751,53.6,11.6,68,3.4,40,2,0,0,0,0,0,0,0,0,0,0,0,0
Santonio Holmes,NYJ,12,52,95,746,62.2,14.3,52,4.7,36,6,0,0,,0,0,4,40,10.0,14,0,2,2
Michael Crabtree,SFO,16,55,101,741,46.3,13.5,60,5.8,40,6,1,0,0.0,0,0,0,0,,0,0,0,0
Steve Breaston,ARI,13,47,87,718,55.2,15.3,37,3.9,32,1,7,162,23.1,27,0,0,0,,0,0,0,0
Malcom Floyd,SDG,11,37,77,717,65.2,19.4,55,3.3,33,6,0,0,0,0,0,0,0,0,0,0,1,0
Joshua Morgan,SFO,16,44,80,698,43.6,15.9,65,6.8,27,2,2,19,9.5,13,0,0,0,,0,0,1,1
Danny Amendola,STL,16,85,123,689,43.1,8.1,36,4.6,35,3,50,1142,22.8,84,0,40,452,11.3,42,0,1,1
Nate Washington,TEN,16,42,94,687,42.9,16.4,71,3.0,34,6,0,0,0,0,0,0,0,0,0,0,0,0
James Jones,GNB,16,50,87,679,42.4,13.6,66,6.1,33,5,0,0,0,0,0,0,0,0,0,0,3,1
Austin Collie,IND,9,58,71,649,72.1,11.2,73,5.4,32,8,0,0,,0,0,0,0,,0,0,1,1
Robert Meachem,NOR,16,44,66,638,39.9,14.5,55,3.0,27,5,0,0,,0,0,0,0,,0,0,1,0
Eddie Royal,DEN,16,59,105,627,39.2,10.6,41,6.9,32,3,5,107,21.4,33,0,25,298,11.9,33,0,2,1
Nate Burleson,DET,14,55,86,625,44.6,11.4,58,5.8,32,6,1,0,0.0,0,0,0,0,,0,0,2,2
Kevin Walter,HOU,16,51,80,621,38.8,12.2,35,2.9,33,5,0,0,,0,0,0,0,,0,0,0,0
Brandon Gibson,STL,14,53,91,620,44.3,11.7,41,4.4,33,2,0,0,0,0,0,0,0,0,0,0,0,0
Brian Hartline,MIA,12,43,73,615,51.3,14.3,54,5.2,27,1,0,0,,0,0,0,0,,0,0,1,1
Louis Murphy,OAK,14,41,78,609,43.5,14.9,70,5.6,27,2,0,0,0,0,0,0,0,0,0,0,2,1
Jordan Shipley,CIN,15,52,74,600,40.0,11.5,64,4.0,30,3,0,0,0,0,0,0,0,0,0,0,0,0
Jordy Nelson,GNB,16,45,64,582,36.4,12.9,80,5.9,25,2,22,496,22.5,51,0,0,0,,0,0,1,1
Lee Evans,BUF,13,37,83,578,44.5,15.6,54,3.6,26,4,0,0,0,0,0,0,0,0,0,0,2,1
Jason Avant,PHI,16,51,74,573,35.8,11.2,34,3.8,31,1,0,0,,0,0,0,0,,0,0,0,0
Donald Driver,GNB,15,51,86,565,37.7,11.1,61,3.7,29,4,1,0,0.0,0,0,0,0,,0,0,1,1
Mike Sims-Walker,JAC,14,43,80,562,40.1,13.1,39,3.0,33,7,0,0,0,0,0,0,0,0,0,0,1,1
Jacoby Jones,HOU,15,51,78,562,37.5,11.0,47,4.7,31,3,23,494,21.5,35,0,29,204,7.0,39,0,1,0
Dez Bryant,DAL,12,45,72,561,46.8,12.5,46,4.7,27,6,12,293,24.4,43,0,15,215,14.3,93,2,0,0
Earl Bennett,CHI,14,46,70,561,40.1,12.2,48,4.8,27,3,0,0,,0,0,0,0,,0,0,1,0
Steve Smith,CAR,14,46,99,554,39.6,12.0,39,4.9,24,2,0,0,,0,0,6,46,7.7,32,0,2,2
Roy Williams,DAL,15,37,64,530,35.3,14.3,63,5.8,25,5,0,0,0,0,0,0,0,0,0,0,3,2
Steve Smith,NYG,9,48,75,529,58.8,11.0,45,2.4,29,3,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Crayton,SDG,9,28,42,514,57.1,18.4,49,8.1,24,1,1,31,31.0,31,0,2,23,11.5,13,0,0,0
David Gettis,CAR,15,37,67,508,33.9,13.7,88,4.7,24,3,9,159,17.7,28,0,0,0,,0,0,0,0
Michael Jenkins,ATL,11,41,73,505,45.9,12.3,43,2.2,29,2,0,0,,0,0,0,0,,0,0,0,0
Ben Obomanu,SEA,15,30,49,494,32.9,16.5,87,6.2,17,4,0,0,,0,0,0,0,,0,0,0,0
