Team,G,Pts.G,Yds.G,RushYds.G,PassYds.G,Int,IntTD,FFum,DefTD,Tack,PD,Sack,year
Seattle Seahawks,16,15.3,306.2,103.1,203.1,18,2,16,3,572,77,36,2010
San Francisco 49ers,16,17.1,294.4,94.2,200.2,14,2,12,3,653,79,38,2010
Chicago Bears,16,17.3,315.6,101.7,213.9,24,8,23,9,638,94,41,2010
Denver Broncos,16,18.1,290.8,91.1,199.6,16,5,18,6,621,85,52,2010
Atlanta Falcons,16,18.7,365.6,123.2,242.4,20,1,15,2,642,83,29,2010
Pittsburgh Steelers,16,19.6,275.8,90.6,185.2,10,1,15,1,606,80,37,2010
Miami Dolphins,16,19.8,356.8,108.4,248.4,10,0,11,0,688,66,42,2010
Cincinnati Bengals,16,20,319.7,107.2,212.5,14,2,16,3,612,72,51,2010
New England Patriots,16,20.7,373.3,101.9,271.4,20,2,28,5,609,81,37,2010
Houston Texans,16,20.7,323.3,97.5,225.8,15,3,16,3,608,118,44,2010
Green Bay Packers,16,21,336.8,118.5,218.3,18,1,8,2,633,91,47,2010
Baltimore Ravens,16,21.5,350.9,122.8,228.1,13,2,6,2,729,92,37,2010
New York Giants,16,21.5,383.4,129.1,254.3,21,1,11,2,705,72,33,2010
Minnesota Vikings,16,21.8,350,105.8,244.3,10,3,13,3,674,73,44,2010
St. Louis Rams,16,21.8,342.6,117.5,225.1,17,4,11,5,732,58,52,2010
San Diego Chargers,16,21.9,326.4,96.4,230.1,14,5,16,7,686,72,38,2010
Arizona Cardinals,16,22.3,337.8,137,200.8,22,2,12,3,677,78,38,2010
Carolina Panthers,16,22.7,333.1,110.1,223,11,3,14,3,616,66,39,2010
Cleveland Browns,16,23,363.8,118.6,245.2,17,2,16,2,685,80,38,2010
New York Jets,16,23.4,323.4,133.6,189.8,11,2,13,3,606,58,30,2010
Indianapolis Colts,16,24.2,374.3,137.5,236.8,12,4,6,4,611,68,32,2010
Washington Redskins,16,24.3,377.7,95.8,281.9,21,3,12,4,601,94,32,2010
Tampa Bay Buccaneers,16,24.6,379.9,82.5,297.4,18,3,10,3,687,83,27,2010
Dallas Cowboys,16,25,355.4,125.2,230.3,7,1,13,3,603,55,34,2010
Kansas City Chiefs,16,26.6,356.5,135.7,220.8,7,0,11,1,670,65,27,2010
Buffalo Bills,16,27.2,362.9,145.8,217.1,12,1,18,1,665,79,36,2010
Detroit Lions,16,27.3,341.1,118.1,223.1,11,0,9,0,640,63,34,2010
Oakland Raiders,16,27.7,354.5,118.6,235.9,11,0,8,0,634,55,25,2010
Jacksonville Jaguars,16,27.8,380.5,141,239.5,12,0,12,0,756,59,20,2010
Philadelphia Eagles,16,27.8,343.2,126.3,216.9,8,0,9,0,661,77,30,2010
New Orleans Saints,16,28.4,440.1,147.6,292.6,15,4,10,4,636,92,30,2010
Tennessee Titans,16,29.4,374.9,127.2,247.8,19,4,13,5,697,70,39,2010
Pittsburgh Steelers,16,14.2,271.8,99.8,171.9,11,0,6,1,610,73,35,2011
San Francisco 49ers,16,14.3,308.2,77.3,230.9,23,1,18,1,640,105,42,2011
Baltimore Ravens,16,16.6,288.9,92.6,196.3,15,1,21,4,656,112,48,2011
Houston Texans,16,17.4,285.7,96,189.7,17,1,11,1,608,98,44,2011
