Name,Team,G,M0-19,A0-19,M20-29,A20-29,M30-39,A30-39,M40-49,A40-49,M50+,A50+,FGM ,FGA ,Pct ,Lng ,XPM ,XPA ,Pct ,Pts 
 David Akers,SFO,16,2,2,16,16,13,14,6,11,7,9,44,52,84.6,55,34,34,100,166
 Mike Nugent,CIN,16,0,0,14,14,5,8,14,16,0,0,33,38,86.8,49,33,34,97.1,132
 Neil Rackers,HOU,16,0,0,14,14,10,11,4,8,4,5,32,38,84.2,54,39,40,97.5,135
 Dan Bailey,DAL,16,1,1,8,9,11,11,10,12,2,4,32,37,86.5,51,39,39,100,135
 Graham Gano,WAS,16,0,0,14,15,5,9,8,11,4,6,31,41,75.6,59,25,26,96.2,118
 Sebastian Janikowski,OAK,15,1,1,8,8,5,5,10,11,7,10,31,35,88.6,63,36,36,100,129
 Rob Bironas,TEN,16,0,0,5,5,9,10,9,10,6,7,29,32,90.6,53,34,34,100,121
 Dan Carpenter,MIA,14,0,0,10,11,6,7,11,12,2,4,29,34,85.3,58,26,26,100,113
 Stephen Gostkowski,NWE,16,1,1,12,13,5,6,9,11,1,2,28,33,84.8,50,59,59,100,143
 Robbie Gould,CHI,16,0,0,10,10,6,6,6,10,1,6,28,32,87.5,57,37,37,100,121
 John Kasay,NOR,16,0,0,11,11,10,10,5,8,2,5,28,34,82.4,53,63,63,100,147
 Billy Cundiff,BAL,15,1,1,9,9,10,12,7,9,1,6,28,37,75.7,51,38,38,100,122
 Matt Bryant,ATL,16,2,2,9,9,9,9,5,7,2,2,27,29,93.1,51,45,45,100,126
 Nick Novak,SDG,15,0,0,11,11,4,5,8,11,4,7,27,34,79.4,53,41,42,97.6,122
 Connor Barth,TAM,16,0,0,5,5,5,6,13,14,2,3,26,28,92.9,55,23,23,100,101
 Steven Hauschka,SEA,16,2,2,5,6,9,10,7,8,2,4,25,30,83.3,52,34,34,100,109
 Phil Dawson,CLE,16,0,0,7,9,3,4,7,8,7,8,24,29,82.8,54,20,20,100,92
 Jason Hanson,DET,16,0,0,9,11,8,9,2,4,5,7,24,29,82.8,51,54,54,100,126
 Ryan Succop,KAN,16,1,1,7,7,6,7,6,12,2,3,24,30,80,54,20,20,100,92
 Mason Crosby,GNB,16,1,1,4,5,14,14,3,5,2,3,24,28,85.7,58,68,69,98.6,140
 Alex Henery,PHI,16,0,0,10,10,9,11,4,4,1,2,24,27,88.9,51,46,46,100,118
 Shaun Suisham,PIT,16,2,2,8,8,6,8,6,11,1,2,23,31,74.2,51,36,36,100,105
 Josh Scobee,JAC,16,1,1,5,5,5,5,7,8,5,6,23,25,92,55,24,24,100,93
 Adam Vinatieri,IND,16,0,0,7,7,6,7,8,10,2,3,23,27,85.2,53,24,24,100,93
 Ryan Longwell,MIN,16,0,0,7,7,6,8,6,10,2,3,22,28,78.6,53,38,39,97.4,104
 Olindo Mare,CAR,16,1,1,7,7,6,9,8,9,0,2,22,28,78.6,45,44,45,97.8,110
 Josh Brown,STL,16,0,0,7,7,6,7,8,12,0,2,21,28,75,49,18,18,100,81
 Jay Feely,ARI,16,0,0,9,9,4,6,5,7,1,2,19,24,79.2,51,33,33,100,90
 Matt Prater,DEN,16,0,0,5,6,8,8,3,7,3,4,19,25,76,59,30,30,100,87
 Lawrence Tynes,NYG,16,0,0,12,12,3,4,3,5,2,3,19,24,79.2,50,43,43,100,100
 Nick Folk,NYJ,16,0,0,5,6,6,6,5,7,3,6,19,25,76,51,44,44,100,101
 Rian Lindell,BUF,8,0,0,6,6,2,3,5,6,0,0,13,15,86.7,49,25,25,100,64
 Dave Rayner,BUF,7,0,0,5,6,3,4,0,1,2,4,10,15,66.7,56,13,13,100,43
 Shayne Graham,MIA,2,0,0,4,4,0,0,2,3,0,0,6,7,85.7,48,8,8,100,26
 Nate Kaeding,SDG,1,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0, ,0
 Brandon Coutu,BUF,1,0,0,0,0,0,0,0,1,0,0,0,1,0, ,3,3,100,3
 David Buehler,DAL,4,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0, ,0
