Name,Team,G,Rec ,Rec Yds,Rec YG,Rec Avg,Lng ,YAC ,Rec 1stD,Rec TD,KR ,KR Yds,KR Avg,KR Long,KR TD,PR,PR Yds,PR Avg,PR Long,PR TD,Fum ,FumL 
 Calvin Johnson,DET,16,96,1681,105.1,17.5,73,5.7,77,16,0,0,0,0,0,0,0,0,0,0,1,1
 Wes Welker,NWE,16,122,1569,98.1,12.9,99,6.2,77,9,0,0, ,0,0,8,82,10.3,25,0,0,0
 Victor Cruz,NYG,16,82,1536,96,18.7,99,7.4,59,9,0,0, ,0,0,3,12,4,11,0,1,1
 Larry Fitzgerald,ARI,16,80,1411,88.2,17.6,73,6.4,61,8,0,0,0,0,0,0,0,0,0,0,0,0
 Steve Smith,CAR,16,79,1394,87.1,17.6,77,5.9,53,7,0,0, ,0,0,0,0, ,0,0,3,2
 Roddy White,ATL,16,100,1296,81,13,43,3.8,77,8,0,0, ,0,0,0,0, ,0,0,0,0
 Jordy Nelson,GNB,16,68,1263,78.9,18.6,93,6.4,47,15,0,0, ,0,0,0,0, ,0,0,0,0
 Brandon Marshall,MIA,16,81,1214,75.9,15,65,4.2,53,6,0,0, ,0,0,0,0, ,0,0,1,1
 Mike Wallace,PIT,16,72,1193,74.6,16.6,95,6.8,54,8,0,0, ,0,0,0,0, ,0,0,1,1
 Hakeem Nicks,NYG,15,76,1192,79.5,15.7,68,4.8,54,7,0,0, ,0,0,0,0, ,0,0,0,0
 Dwayne Bowe,KAN,16,81,1159,72.4,14.3,52,4.5,57,5,0,0, ,0,0,0,0, ,0,0,1,0
 Marques Colston,NOR,14,80,1143,81.6,14.3,50,3.6,55,8,0,0, ,0,0,0,0, ,0,0,1,1
 Antonio Brown,PIT,16,69,1108,69.3,16.1,79,5,57,2,27,737,27.3,52,0,30,325,10.8,60,1,0,0
 Vincent Jackson,SDG,16,60,1106,69.1,18.4,58,3.9,54,9,0,0,0,0,0,0,0,0,0,0,0,0
 A.J. Green,CIN,15,65,1057,70.5,16.3,58,4.5,43,7,0,0,0,0,0,0,0,0,0,0,1,0
 Nate Washington,TEN,16,74,1023,63.9,13.8,57,4.9,47,7,0,0,0,0,0,0,0,0,0,0,0,0
 Stevie Johnson,BUF,16,76,1004,62.8,13.2,55,4.5,45,7,0,0, ,0,0,0,0, ,0,0,0,0
 Darrius Heyward-Bey,OAK,15,64,975,65,15.2,58,4.5,44,4,0,0,0,0,0,0,0,0,0,0,1,1
 Percy Harvin,MIN,16,87,967,60.4,11.1,52,6.5,45,6,16,520,32.5,104,1,0,0, ,0,0,2,2
 Brandon Lloyd,DEN,4,70,966,64.4,13.8,44,2.2,46,5,0,0, ,0,0,0,0, ,0,0,1,0
 DeSean Jackson,PHI,15,58,961,64.1,16.6,62,4.3,39,4,1,7,7,7,0,17,114,6.7,51,0,0,0
 Reggie Wayne,IND,16,75,960,60,12.8,56,3.9,50,4,0,0,0,0,0,0,0,0,0,0,0,0
 Julio Jones,ATL,13,54,959,73.8,17.8,80,7.9,34,8,0,0,0,0,0,0,0,0,0,0,1,1
 Greg Jennings,GNB,13,67,949,73,14.2,79,4.8,43,9,0,0, ,0,0,0,0, ,0,0,0,0
 Pierre Garcon,IND,16,70,947,59.2,13.5,87,5.4,42,6,0,0, ,0,0,16,44,2.8,20,0,2,2
 Jabar Gaffney,WAS,16,68,947,59.2,13.9,45,2.9,50,5,0,0, ,0,0,0,0, ,0,0,1,1
 Dez Bryant,DAL,15,63,928,61.9,14.7,50,5,48,9,3,55,18.3,26,0,15,103,6.9,20,0,1,1
 Anquan Boldin,BAL,14,57,887,63.4,15.6,56,4.6,44,3,0,0, ,0,0,0,0, ,0,0,0,0
 Michael Crabtree,SFO,15,72,874,58.3,12.1,52,5.2,40,4,0,0, ,0,0,0,0, ,0,0,0,0
 Jeremy Maclin,PHI,13,63,859,66.1,13.6,59,4.5,43,5,0,0, ,0,0,4,29,7.3,11,0,1,1
 Laurent Robinson,DAL,14,54,858,61.3,15.9,74,5,36,11,0,0,0,0,0,0,0,0,0,0,1,0
 Malcom Floyd,SDG,12,43,856,71.3,19.9,52,4.7,41,5,0,0,0,0,0,0,0,0,0,0,0,0
 Torrey Smith,BAL,16,50,841,52.6,16.8,74,5,34,7,1,24,24,24,0,0,0, ,0,0,1,0
 Doug Baldwin,SEA,16,51,788,49.3,15.5,55,6.3,40,4,1,37,37,37,0,0,0, ,0,0,0,0
 Steve Breaston,KAN,16,61,785,49.1,12.9,43,5.6,39,2,0,0, ,0,0,0,0, ,0,0,0,0
 Mike Williams,TAM,16,65,771,48.2,11.9,42,3.8,41,3,0,0,0,0,0,0,0,0,0,0,2,2
 Nate Burleson,DET,16,73,757,47.3,10.4,47,5.8,36,3,0,0, ,0,0,0,0, ,0,0,1,1
 Johnny Knox,CHI,14,37,727,51.9,19.6,81,4.5,31,2,15,397,26.5,56,0,1,9,9,9,0,1,1
